pname,ptype,plonginfo,ptransport,paddress,pcontactno,pbizhour,prestaurant,paccommodation
청계천 헌책방거리,문화거리,"""동대문에서 청계천을 따라 쭉 뻗은 헌책방 거리가 있다. 서울에 헌책방이 생겨난 것이 1960~70년대였으며 1980년대는 120여개의 점포가 있을 정도로 청계천 헌책방 거리의 전성기였다고 할 수 있다. 보통 시중보다 30% 정도 싼 가격이지만 희귀성에 따라, 출판된 시기에 따라, 보존 상태에 따라 천차만별이다. 최근 대형서점, 온라인 서점 등의 등장과 책 읽기 힘들 정도로 바쁜 현대인들의 일상으로 인해 과거 200여개가 넘던 헌책방들이 오늘날 20여개만 남았을 정도로 침체기이다. 하지만 이곳에서만 만날 수 있는 헌책의 매력과 추억들을 대중에게 알리고 거리를 되살리고자 많은 사람들이 부단한 노력을 기울이고 있다.""",4호선 동대문 8번 출구 도보 5분,서울시 중구 광희동 일대,02-2279-3902,,"진옥화할매원조닭한마리 : 1987년에 개점하여 오랜 시간 자리를 지켜온 동대문 종합시장 원조 맛집 (02-2275-9666)
순미네행복게장 : 각종 한약재를 넣어 만든 간장게장, 양념게장 무한리필 맛집 (02-2268-2059)
낙산냉면 : 백종원의 3대 천왕에 나온, 매운 냉면 맛집(02-743-7285)
BLT 스테이크 : 수요미식회에 나온, 뉴욕 3대 스테이크(02-2276-3330)","96bunz : 중구 퇴계로 343-1(02-2272-0003)
호텔스카이파크 킹스타운동대문점 : 중구 장충단로13길 20(02-6952-8991)
JW 메리어트 동대문 스퀘어 서울 : 종로구 청계천로 279(02-2276-3000)"
황학동 도깨비시장,문화거리,"""황학동 도깨비시장은 청계천7가에서 8가 사이에 위치한다. 전국 구석구석의 희귀한 물건들을 벼룩이 뛰듯이 돌아다니며 모아온다는 의미에서 ‘황학동 벼룩시장’이라고도 한다. 또 중고물품을 판매하고 있어서 ‘황학동 중고시장’, 없는 물건이 없다는 의미에서 ‘황학동 만물시장’이라고 부르기도 한다. 황학동 도깨비시장이 생겨난 것은 청계천 복개공사 후 건너편에 삼일아파트가 들어설 즈음인 1969년 이후이다. 이때부터 시장이 활성화되기 시작하여, 노점상이 생겨나고 전국의 중고물품이 모여들어 시장을 형성했다. 과거 황학동 도깨비시장은 조선시대 미술품과 골동품을 많이 취급했다. 그러나 1983년 6월 장안평에 고미술품 집단상가가 조성되면서 점포들이 옮겨갔고, 전문미술품은 인사동으로 이전해갔다. 그 빈자리를 중고가구, 가전제품, 시계, 각종 기계류와 공구류 등이 차지하면서 중고물품 전문시장으로 발전했다. 청계천이 복원되면서 노점상들이 철거되자 상인들은 동대문운동장 내에 천막을 치고 임시로 풍물시장을 열었다. 그러나 2007년 동대문운동장마저 철거되자 시장의 상인들은 흩어지게 되었다. 지금은 중고 주방용품과 가전제품, 일부 골동품 상점이 남아 있는데, 아무리 오래되고 망가진 물건이라도 이곳 상인들의 손을 거치면 감쪽같이 새것이 된다. 대표적인 상점으로는 40년 동안 괘종시계만 수리해서 팔아온 만보당을 비롯해서 보국당, 동림당 등을 들 수 있다. 비록 과거에 비해 활기는 떨어졌지만, 황학동 도깨비시장은 여전히 국내 최대의 중고물품 시장으로 인식되고 있다. 학생과 신혼부부, 인테리어에 관심이 있는 사람들이 자주 찾는다.""",6호선 신당역 11번 출구 도보 10분,서울시 중구 황학동 일대,02-3396-4114(중구 문화관광),,"육전식당 1호점 : 여러 TV 프로그램에 나온, 신설동 대표 고기 구이 맛집 (02-2234-6373)
에베레스트 레스토랑 : 여러 TV 프로그램에 나온, 네팔 부부가 직접 운영하는 네팔 음식 전문점 (02-766-8850)
마복림떡볶이 : 맛있는 녀석들에 나온, 신당동 떡볶이 원조 맛집(02-2232-8930)
미미국수 : 생활의 달인에 나온, 양지 육수로 만든 국수 맛집(070-4112-5145)","도깨비코티지 : 용산구 소월로2나길 6-1(02-717-0435)
IBC호텔 : 종로구 숭인동 1396(02-2250-3000)
서울앤호텔 동대문 : 종로구 숭인동 202-13(02-6465-0008)"
국립한글박물관,문화거리,"""국립한글박물관은 ‘한글’의 지나온 역사를 실물 자료 중심으로 전시하고 있다. 국어와 한글의 역사, 문자 역사에 관한 자료 및 문화·예술 자료도 폭넓게 관람할 수 있다. 또한 어린이들이 즐겁게 한글을 체험할 수 있는 '한글 놀이터', 외국인이 한글을 쉽게 익힐 수 있는 '한글배움터', 한글에 관한 전문 도서관 '한글누리' 등이 운영되고 있다. 한국어를 적는 가장 완벽한 문자인 한글은 문자사적으로 길이 빛날 독창성과 과학적 원리를 갖고 있어, 세계의 언어학자들에게 찬사를 받고 있는 한글의 우수성을 느낄 수 있다.""",4호선 이촌역 3번 출구 도보 8분,서울시 용산구 서빙고로 139,02-2124-6200,"10:00~18:00 (월요일~금요일, 일요일, 공휴일) 
10:00~21:00 (토요일, 매 달 마지막 수요일) 
※이용 시간 종료 30분 전까지 입장 가능
※휴무일 : 1월 1일, 설날 당일, 추석 당일","북천 : 특제 브라운소스가 맛있는 서울 3대 돈까스 맛집 02-796-2461
동빙고 : 수요미식회에 나온, 서울 3대 빙수 맛집 02-794-7171
스즈란테이 : 일본인이 운영하는 일본 가정식 요리 전문점(02-749-5324)
아지겐 : 수요미식회에 나온, 정통 일본요리 전문점(02-794-8177)","해밀톤 호텔 : 용산구 이태원로 179(02-3786-6000)
서울드래곤시티 : 용산구 청파로20길 95(02-2223-7000)
크라운관광호텔 : 용산구 녹사평대로 140(02-797-4111)"
북촌 한옥마을,문화거리,"""북촌한옥마을은 서울을 넘어 대한민국을 대표하는 전통골목이다. 북촌은 경복궁과 창덕궁, 종묘 사이에 위치하고 있다. 전통한옥이 밀집된 서울의 대표적 전통 주거지다. 많은 사적들과 문화재, 민속자료가 있어 도심 속의 거리 박물관이라 불리는 곳이다. 북촌이라 불리는 건 청계천과 종로의 윗동네이기 때문이다. 북촌은 한양의 중심이었을 뿐 아니라 풍수지리적으로 좋은 곳이었다. 북으로 갈수록 계곡이 깊어지고 남쪽은 비교적 완만하고 청계천에 이르는, 전형적인 배산임수 구조였다. 그래서 자연스레 예로부터 권문세가들의 주거지로 자리매김했다. 북촌의 위상은 개화기와 일제시대에도 이어졌다. 박영효와 김옥균, 민대식 등의 개화파가 북촌에 거주했고 많은 독립 운동가들이 이곳에 살았다. 하지만 일제시대를 거쳐 북촌의 현대화가 계속 진행됐고, 특히 1990년대에는 다세대주택 때문에 많은 수의 한옥이 사라졌다. 급속도로 진행되는 한옥멸실과 다세대 주택 신축으로 북촌경관이 변해가자 1999년 서울시정개발연구원에서는 전문가, 주민, 서울시가 더불어 북촌 가꾸기 정책을 수립했다. 일방적 규제가 아니라 주민들의 자발적 의사에 기초하는 한옥 등록제를 근간으로 현대적 생활요구를 수용하며 한옥 고유의 아름다움이 유지되도록 한옥 수선을 유도, 지원하고 관리하기 시작했다. 북촌의 볼거리는 수도 없이 많아 제대로 보려면 하루 날을 잡아야 할 정도다. 사적 5군데, 서울시 민속자료 4개, 유형문화재 3개, 문화재자료 1개 이외에 계동길, 석정보름우물, 광혜원터 등이 있다. 우리나라 최초의 목욕탕인 중앙탕도 있다. 한옥을 제대로 보려면 가회동 11번지와 31번지, 33번지를 찾으면 된다.""",3호선 안국역 2번 출구 도보 8분,서울시 종로구 계동길 37,"02-2148-4160(재동초교 관광안내소) 
02-2148-4161(정독도서관 관광안내소)",,"깡통만두 : 수요미식회에 나온, 만두와 온반이 있는 맛집(02-794-4243)
눈나무집 : 모닝와이드에 나온, 시원한 김치말이국수와 떡갈비 맛집(02-739-6742)
경춘자의라면땡기는날 : 백종원의 3대 천왕에 나온, 매콤한 짬뽕라면이 유명한 맛집(02-733-3330)
베이징코야 : 가족모임 장소로 좋은 베이징덕 맛집(02-313-5292)","세종게스트하우스 : 종로구 자하문로1라길 16(02-732-9080)
세림호텔 : 종로구 인사동길 37-11(02-739-3377)
바나나백팩커스 : 용산구 두텁바위로25길 7902-3672-1973)"
경춘선 숲길,문화거리,"""경춘선은 1939년 7월 열차 운행이 시작된 뒤 복선전철이 개통된 2010년 12월까지 71년간 운행된 '낭만 열차'의 대명사였다. 그러나 열차 운행이 중단되자 철로 주변은 쓰레기장과 불법 주차장으로 방치됐다. 서울시는 2013년부터 경춘선(광운대역∼서울·구리시 경계) 폐선 부지를 공원으로 가꾸는 작업을 시작했다. 옛 기찻길을 보존하고 경춘선을 달렸던 무궁화호 객차를 설치해 놓는 등 과거 경춘선이 지난 흔적을 그대로 남겨뒀다. 경춘철교 정비는 근대문화유산으로 문화재적 가치를 보전하기 위해 12개의 교각과 철로를 그대로 보전하면서 보행로 조성하고, 철교 아래로 흐르는 중랑천을 따라 이어진 산책로와 자전거도로가 연계되도록 승강기와 전망공간을 조성했다.""","1호선 월계역 1번 출구 도보 5분 
6호선 화랑대역 2·4번 출구 도보 1분",서울특별시 노원구 공릉로55길 88,02-3783-5977,,"경회루 : 고급 한정식을 맛볼 수 있는 맛집(02-972-2774)
일상다반 : 나가사키라멘이 맛있는 일본가정식 맛집(02-971-0666)
멍텅구리 즉석떡볶이 : 서울과학기술대 학생들의 단골 맛집인 즉석떡볶이 맛집(02-978-4645)
쪼매매운떡볶이 : 수요미식회에 나온, 추억의 학교 앞 분식집(02-977-1120)","태릉W :노원구 화랑로 445(02-975-1911)
르블랑 : 중랑구 동일로 961(02-978-3005)
호텔 마가렛 : 중랑구 동일로 919(02-973-5526)"
덕수궁 돌담길,문화거리,"""연인들이 걷기에 더없이 좋은 곳인 낭만이 가득한 덕수궁 돌담길은 보행자를 위해 보도와 차도 공존도로 및 푸르름이 가득한 가로공간인 녹도의 개념을 복합적으로 도입한 우리나라 최초의 사례로, 자연친화적인 점토블록 및 보행자의 안전한 보행권 확보를 위해 차도에 석고석 포장(페이빙스톤) 실시하였고, 시민들의 휴식 공간을 위해 느티나무 외 2종 130주 식재, 평의자 20개 설치하였으며 주변의 역사적 시설인 덕수궁과 연계한 역사적 가로 경관의 창출 및 환경을 개선하였다.""","1,2호선 시청역 2,3번 출구 도보 5분",서울특별시 중구 세종대로 99,02-751-0734,,"신성 : 수요미식회에 나온, 보리굴비가 대표 메뉴인 일식당(02-733-6671)
유림면 : 50년 전통의 서울 3대 메밀국수 맛집(02-755-0659)
고려삼계탕 : 1960년에 한국 최초로 개점한 삼계탕 전문점(02-752-9376)
강서면옥 : 50년 이상 자리를 지킨, 평양식 냉면 맛집(02-752-1945)","더 플라자 : 중구 소공로 119(02-771-2200)
프레지던트 호텔 : 중구 을지로 16(02-753-3131)
포시즌스호텔서울 : 종로구 새문안로 97(02-6388-5000)"
백남준 기념관,문화거리,"""세계적인 비디오 아티스트였던 백남준이 어린시절을 보냈던 곳인 동묘앞역 8번출구에서 종로구민회관으로 올라가는 골목 모퉁이에 아담한 한옥인 백남준 기념관이 있다. 2017년 3월에 음식점이었던 것을 리모델링해서 백남준기념관으로 재 탄생시킨 곳이다.
백남준 기념관은 서울시립미술관에서 관리하는 분관 중 하나이며 백남준의 삶과 예술을 기억하기 위해 백남준의 다양한 예술작품을 감상할 수 있게 만들어져 있는데, 마당에는 현대적 감각의 조형물이 우뚝 서 있다. '백남준의 책상'이라는 작품은 관람객이 직접 책장을 넘기면서 감상하는 미디어 전시이며, 의자에 앉아 직접 아날로그 텔레비젼 채널을 돌리면 시대별로 그의 전시와 어록 등이 상영되는 미디어월 전시또한 독특한 볼거리이다.""","4호선 동대문역 3번 출구 도보 3분 
6호선 동묘앞역 8번 출구 도보 3분",서울특별시 종로구 종로53길 12-1 (창신동)??,02-2124-8944,10:00~19:00(매주 월요일 휴관),"히말라얀 레스토랑 : 정통 네팔 커리 레스토랑(02-3672-1566)
한국통닭 : 생방송오늘저녁에 나온, 한국식 옛날통닭(010-2753-8895) 
용두쌍둥이네쭈꾸미 : 쭈꾸미와 삼겹살을 함께 맛볼 수 있는 쭈꾸미 맛집(02-747-3434)","서울달빛 동대문 게스트하우스 : 종로구 종로 54길 9-10(02-745-1986)
디세븐스위츠 : 종로구 종로56길 20-8 D7(02-3298-2000)
코비게스트하우스 : 종로구 종로53길 12-8(010-5855-9921)"
프리징 아일랜드,문화거리,"""프리징 아일랜드는 대한민국 최대 규모의 아이스 테마파크로 2017년 7월 15일 서울 종로에서 개장하는 450여평 규모의 아이스 체험 및 전시관이다. 총 250여 점의 다양한 아이스 작품들이 3개 층에 나뉘어져 전시되어 있으며 전체를 둘러보는데 보통 1시간 30여분 정도 소요된다. 얼음으로 만들어진 성, 얼음 폭포, 아이스 아쿠아리움, 얼음 미끄럼틀, 아이스 레스토랑, 아이스 빌리지, 아이스 스토리 등 총 7가지 테마를 즐길 수 있는 프리징 아일랜드는 아름다운 색얼음을 이용해 아이스 작품을 만들어 보다 생생하고 현장감있는 체험을 즐길 수 있다.""","1,3,5호선 종로3가역 15번 출구 도보 5분",서울특별시 종로구 삼일대로 386,02-6925-1042,10:00 ~ 20:00(연중무휴),"소문난경북집 : 종로 먹자골목에서 유명한 대표 전집(02-2275-8177)
우화식당 : 매콤한 코다리찜과 육전이 맛있는 곳(02-2277-4997)
대련집 : 사골칼국수와 만두 맛집(02-2265-5349)
일미식당 : 여러 TV 프로그램에 나온, 청국장이 대표 메뉴인 한식당(02-766-6588)","아마레 : 종로구 수표로 22길 7(02-747-0566)
호텔 더 디자이너스 종로 : 종로구 수표로 89-8(02-2267-7474)
쉴 호텔 : 종로구 수표러 18길 10(02-2278-9993)"
성산동 문화비축기지,문화거리,"""마포구 서울월드컵경기장 인근 매봉산에 에워싸인 ‘문화비축기지’는 41년간 일반인의 접근과 이용이 철저히 통제됐던 산업화시대 유산인 마포 석유비축기지가 도시재생을 통해 시민 품으로 돌아오게 된 문화공원이다. 축구장 22개 크기인 14만㎡ 부지 가운데에 개방된 문화마당이 자리하고 6개의 탱크가 이를 둘러 싸고 있는 형태로 하나부터 열까지 모두 기존 자원들을 재활용한 ‘재생’을 통해 만들어졌다는 점에서 서울의 대표적인 대형 도시재생 랜드마크라 할 수 있다. 2017년 9월1일(금) 시민에게 개방되었고, 단순한 문화시설을 넘어 석유와 건설로 대표되는 산업화시대에서 친환경과 재생을 아이콘으로 한 미래로의 도약, 그 상징적 공간이 되도록 시민과 함께 만들고 채워 나가고있다.""",6호선 월드컵경기장역 2·3번 출구 도보 10분,서울특별시 마포구 증산로 87,02-376-8410,공원-연중무휴 상시개방 / 탱크-10:00~18:00(화요일~일요일),"김영섭초뱝 : 생활의달인에 나온 초밥 전문점()2-3152-0900)
핵스테이크 상암 홈플러스점 : 테이크아웃 스테이크점으로 저렴하지만 알찬 구성의 맛집(02-312-2080)
천사의 족발 : 상암동 먹자골목 대표 족발 맛집(02-303-1955)","인게스트하우스 : 마포구 성미산로1길 68(02-711-7111)
애플트리 게스트하우스 : 마포구 월드컵로 20길 41-5(010-2483-7357)
더엠호텔 : 마포구 성산동 52-13(02-336-0001)"
경복궁,역사유적지,"""조선 왕조 개국 3년인 1395년에 완공된 궁궐은 390여 칸으로 한양의 중심축에 자리했다. 개국공신 정도전은 태조로부터 첫 번째 궁궐의 이름을 지으라는 명을 받았고, 고심 끝에 '새 왕조가 큰 복을 누려 번영할 것'이라는 의미로 경복궁(景福宮)이라는 이름을 붙였다. 국보 제223호인 근정전(勤政殿)은 경복궁의 법전으로 각종 즉위식을 거행했던 왕실의 행사장이었다. 근정전의 옆에 위치한 경회루는 1만원권 구화폐 실릴 만큼 대표적인 건축물로 사랑받아 왔다. 이외에도 일제강점기에 훼손을 겪었다가 2010년에 완전히 복원된 광화문, 고종과 명성황후가 머물던 건천궁, 경복궁의 후원인 향원정 등이 자리하고 있다. 경복궁은 조선 왕조 최고의 궁궐인 만큼 생각보다 넓다. 동선은 자유롭게 조정할 수 있다. 다만 좀 더 자세한 관람을 원한다면 우리궁궐지킴이 해설사들의 설명과 함께하는 것이 가장 좋다.""","5호선 광화문역 2번출구 도보 10분
3호선 경복궁역 5번 출구 도보 5분",서울 종로구 사직로 161,02-3700-3900,"1월 ~ 2월, 11월 ~ 12월 : 09:00~17:00(입장마감은 16:00) 
3월 ~ 5월, 9월 ~ 10월 : 09:00~18:00(입장마감은 17:00) 
6월 ~ 8월 : 09:00~18:30(입장마감은 17:30)","서촌계단집 : 여러 TV 프로그램에 나온, 문어 숙회와 조개찜이 맛있는 술집(02-737-8412)
삼청동 수제비 : 여러 TV 프로그램에 나온, 깔끔한 멸치 육수와 부드러운 수제비가 어우러진 맛집(02-735-2965)
풍년쌀농산 : 수요미식회에 나온, 쌀떡으로 만든 떡꼬치가 맛있는 분식집(02-736-5356)
갈리나데이지 : 테이스티로드에 나온, 풍기 파스타가 대표 메뉴인 이탈리안 레스토랑(02-720-1248)
토속촌 : 영계를 사용해 더 부드럽고 견과류가 들어간 삼계탕 전문점 (02-737-7444)","신라스테이 광화문 : 종로구 율곡로 4길 59(02-6060-9000)
호텔 아벤트리 종로 : 종로구 우정국로 46(02-736-1234)
호텔 썬비 : 종로구 인사동7길 26(02-730-3451)"
창덕궁,역사유적지,"""창덕궁은 서울에서 두 번째로 유네스코 선정 세계문화유산으로 등재되었다. ‘동아시아 궁전 건축사에 있어 비정형적 조형미를 간직한 대표적 궁으로 주변 자연환경과의 완벽한 조화와 배치가 탁월하다’는 이유로 선정됐다. 창덕궁은 1405년 태종에 의해 세워졌으며, 오랜 시간 법궁(法宮)의 역할을 한 궁궐이다. 조선은 임진왜란을 겪으면서 경복궁과 창덕궁을 모두 잃었다. 광해군 2년(1610)에 재건된 창덕궁은 약 270년간 조선의 법궁으로 쓰였다. 창덕궁은 크게 두 가지 관람 프로그램을 가진다. 첫 번째는 일반 관람이다. 정전인 인정전(仁政殿)을 중심으로 낙선재(樂善齋)까지 아우르는 기본적인 관람 코스다. 두 번째는 후원 특별 관람으로 후원의 초입 부용지에서 후원의 백미 옥류천에 이르는 코스다. 생태계의 보존 상태가 좋고 연못과 정원 등에는 차경의 흔적이 두드러진다.""","5호선 종로3가역 6번 출구 도보 10분
3호선 안국역 3번 출구 도보 5분",서울 종로구 율곡로 99,02-3668-2300,"[창덕궁, 창경궁 일반관람 개장시간] 
2~5월, 9~10월 입장 09:00~17:00 관람 09:00~18:00 
6~8월 입장 09:00~17:30 관람 09:00~18:30 
11월~1월 입장 09:00~16:30 관람 09:00~17:30 

[후원특별관람 개장 시간] 
3~5월, 9~10월 입장 09:00~16:00 관람 09:00~18:00 
6~8월 입장 09:00~16:30 관람 09:00~18:30 
11~2월 입장 09:00~15:30 관람 09:00~17:30","우래옥 : 1946년에 개업해, 서울 대표 평양 냉면 전문점 중 하나로 손꼽히는 맛집(02-2265-0151)
을지면옥 : 수요미식회에 나온, 의정부파 냉면의 개성을 가진 맛집(02-2266-7052)
핏제리아오 : 여러 TV 프로그램에 나온, 이탈리아 정통 화덕피자, 파스타 맛집(02-3673-5005)
정돈 : 수요미식회에 나온, 대학로 대표 돈까스 맛집(02-987-0924)","이비스 앰배서더 서울 인사동 : 종로구 익선동 삼일대로 30길 31(02-6730-1101)
탑호텔 레지던스 : 종로구 낙원동 59-1(02-765-5551)
메이플레이스호텔 : 종로구 율곡로 179(02-742-8080)"
창경궁,역사유적지,"""창경궁은 1483년 창덕궁 동쪽에 세워진 궁으로, 성종이 정희왕후, 안순왕후, 소혜왕후를 위해 수강궁을 확장하면서 창경궁이라는 이름을 붙였다. 명정전과 문정전, 환경전, 경춘전 등 대부분의 전각이 이때 지어졌다. 창경궁은 아픈 역사가 깃든 궁이기도 하다. 1911년 일제에 의해 창경원으로 격하됐고 동물원과 식물원이 설치되었다가 1983년부터 동물원을 이전하고 이름도 다시 창경궁으로 부르기 시작했다. 이곳에는 보물 384호 홍화문, 국보 제226호이자 현존하는 조선의 궁궐 중 가장 오래된 정전인 명정전, 왕이 정무를 보던 문정전, 임금이 신하들과 경연을 열었던 숭문당, 왕이 농정을 살피며 직접 농사를 지었던 춘당지 등이 자리하고 있다. 그러나 창경궁에는 아직 내전 터, 동궁 터, 궐내각사 터 등 빈 터가 많다. 다시금 회복해야 할 우리네 궁궐이요, 자존심이다.""",4호선 혜화역 4번 출구 도보 15분,서울 종로구 창경궁로 189,02-762-4868,"2월~5월, 9월~10월 : 09:00~ 18:00 
6월~8월 : 09:00 ~ 18:30 
11월~1월 : 09:00 ~ 17:30 
※매표는 관람 마감 1시간 전까지 가능","은주정 : 수요미식회에 나온, 저렴한 가격에 즐길 수 있는 삼겹살, 김치찌개 맛집(02-2265-4669)
순대실록 : 여러 TV 프로그램에 나온, 조선 전통 방식으로 만든 순대 전문점(02-742-5338)
영춘옥 : 찾아라 맛있는 TV에 나온, 꼬리곰탕 맛집(02-765-4237)
유진식당 : 여러 TV 프로그램에 나온, 저렴하게 맛볼 수 있는 돼지머리국밥, 평양냉면 맛집(02-764-2835)","메이플레이스호텔 : 종로구 율곡로 179(02-742-8080)
호텔 아트리움 종로 : 종로구 인의동 48-26(02-2174-6500)
종로 pop1 호텔 : 종로구 낙원동 186(02-744-0078)"
덕수궁,역사유적지,"""덕수궁에 들어가기 위해 태평로의 상징인 대한문을 지난다. 하지만 원래의 위치는 아니다. 일제에 의해 태평로가 만들어지면서 덕수궁의 크기는 줄어들었고 대한문도 뒤쪽으로 물러났다. 1968년 태평로가 확장되면서 또다시 뒤로 물러나 지금의 자리에 있게 되었다. 괜스레 너른 태평로가 무심하다. 대한문을 지나 직진하면 중화문(보물 제819호)에 이른다. 덕수궁의 정전인 중화전 입구에 해당된다. 중화전 앞에는 품계석이 도열해 있다. 궁궐 내 목조중층 건물인 석어당도 주목할 만하다. 임진왜란 때 환도한 선조가 머물다 승하한 장소요, 인조반정 후 광해군이 유폐된 장소다. 물시계가 있는 보루각 자격루(국보 제229호)는 궁내 유일한 국보다. 덕수궁 안에는 최초의 서양식 건축물인 석조전이 있는데, 20세기 초에 지어졌으며 현재 덕수궁미술관으로 사용 중이다.""","2호선 시청 12번 출구 도보 5분
1호선 시청 2번 출구 도보 5분",서울 중구 세종대로 99,02-771-9951,"매표 및 입장시간 : 09:00 ~ 20:00 
관람시간 : 09:00 ~ 21:00","유림면 : 50년 전통의 서울 3대 메밀국수 맛집(02-755-0659)
르풀 : 생방송 아침이 좋다에 나온, 테라스 분위기가 좋고 파니니가 맛있는 카페(02-3789-0400)
고려삼계탕 : 1960년에 한국 최초로 개점한 삼계탕 전문점(02-752-9376)
덕수정 : 여러 TV 프로그램에 나온, 오징어볶음과 부대찌개 맛집(02-755-0180)","호텔 코지 명동 : 중구 회현동 1가 199-6(02-773-8801)
라마다 호텔 앤 스위트 서울 남대문 : 중구 순화동 칠패로 27(02-2119-8900)
코리아나 호텔 : 중구 태평로1가 세종대로 135(02-2171-7000)"
경희궁,역사유적지,"""경희궁은 본래 인조의 아버지인 정원군의 집이었으나, 그 터에 왕기가 서려 있다는 말이 돌자 광해군이 이를 몰수해 궁궐을 지었다. 건립 당시만 1500칸에 이르는 대궐이었던 경희궁은 일제강점기를 거치며 가장 철저하게 파괴됐다. 일사늑약(을사조약)이 강제 체결되고 경성중학교가 들어서면서부터다. 또한 경희궁 터에는 전매국 관시를 지었고 전각들도 대부분 팔아버렸다. 1988년 복원 작업에 착수한 후에야 몇몇 전각의 이전 작업이 추진됐다. 경희궁의 흥화문도 이때 복원했다. 경희궁의 정전인 숭정전, 국왕이 공무를 수행하던 자정전과 영조의 어진을 보관하던 태령전도 새로이 복원했다. 경희궁은 2002년 일반인들에게 개방한 뒤로 다시금 나이를 먹어가고 있다. 어떤 모습으로 옛 위상을 회복할지 관심을 가지고 지켜봐야 할 우리의 문화 유산이다.""","5호선 서대문역 4번출구 도보 10분
5호선 광화문역 1번 출구 도보 10분
3호선 경복궁역 7번 출구 도보 10분",서울 종로구 새문안로 45,02-724-0274,"평일,공휴일 09:00 ~ 18:00","광화문집 : 수요미식회에 나온, 돼지김치찌개 맛집(02-739-7737)
키친메시야 : 신선한 연어가 맛있는 일본가정식 전문점(02-734-2480)
미진 : 1952년부터 광화문 일대를 지켜온, 진한 간장 육수의 한국식 냉메밀국수 전문점(02-730-6198)
청진옥: 수요미식회에 나온, 1937년에 개업한 원조 해장국 맛집(02-735-1690)","신라스테이 서대문 : 서대문구 미근동 충정로 76(02-2230-0700)
아트리움 바비엥2 : 중구 소공동 통일로 114(02-6399-0113)
바비엥 스위트1 : 중구 소공동 통일로 102(02-2076-9000)"
서대문형무소,역사유적지,"""서대문형무소는 현존하는 건축물 중 유일한 일본풍 목조 건물이다. 1923년 지은, 사형 선고를 받고 투옥된 전국의 애국지사들이 이감 후 생을 마감한 장소다. 형무소는 죄인들을 감금하는 곳이지만, 서대문형무소에서 온갖 고초를 당한 이들은 목숨을 바칠 만큼 나라를 사랑한 애국지사들이었다. 서대문형무소를 걷는 내내 얼굴도 모르는 그들의 모습이 떠나지 않았다. 서대문형무소는 전시관, 중앙사, 12옥사, 공작사, 한센병원, 순국선열추모비, 사형장과 시구문, 유관순 지하 옥사, 담장과 망루의 순으로 관람한다. 전시 공간을 두루 돌아보고 나오면 강우규, 안창호, 유관순 열사 등 순국열사의 이름을 기록한 추모비가 눈에 띈다. 채 100년도 되지 않은 지난날의 기록이다. 서대문형무소역사관은 과거의 의미를 아로새겨 부끄럽지 않은 미래를 준비하는 역사의 장이다.""",3호선 독립문 5번 출구 도보 10분,서울 서대문구 통일로 251,02-360-8590,"여름철 ( 3 ~ 10월) : 09:30 ~ 18:00 
겨울철 (11 ~ 2월) : 09:30 ~ 17:00","대성집 : 진한 국물과 푸짐한 도가니가 어우러진 도가니탕 맛집(02-735-4259)
달인꽈배기 : 여러 TV 프로그램에 나온, 달인이 만드는 꽈배기 맛집(02-313-5419)
영천시장떡볶이 : 백종원의 3대 천왕에 나온, 40년 전통의 떡볶이 맛집(02-312-5436)
원조꽈배기 : 생방송 투데이에 나온, 서울 3대 꽈배기 맛집(02-392-4690)","주성치가 올때까지 : 종로구 사직동 필운대로 1길 43-3(010-5337-3942)
서촌 가치 B&B : 종로구 누상동 필운대로 5다길 17(070-8801-5852)
신라스테이 서대문 : 서대문구 미근동 충정로 76(02-2230-0700)"
